% Open solar flux
% 27-day means(Bartel Rotation Periods) for 1964-December 2018 (inclusive)
% Kinematically corrected to remove folded flux
% please acknowledge M. Lockwood, University of Reading, UK
% and cite
% M. Lockwood, M. Owens, and A.P. Rouillard (2009)
% Excess Open Solar Magnetic Flux from Satellite Data: II. A survey of kinematic effects
% J. Geophys. Res., 114, A11104, doi: 10.1029/2009JA014450
% and 
% M. Lockwood, M. Owens, and A.P. Rouillard
% Excess Open Solar Magnetic Flux from Satellite Data: I. Analysis of the 3rd Perihelion Ulysses Pass
% J. Geophys. Res., 114, A11103, doi:10.1029/2009JA014449, 2009   

%  decimal year    OSF (10^15 Wb)         B (nT)       |Br| (nT)
   1.9714150e+03             NaN   5.4362725e+00   2.8785571e+00
   1.9714890e+03             NaN   5.7827465e+00   2.4441901e+00
   1.9715630e+03             NaN   6.3370000e+00   2.7792000e+00
   1.9716369e+03             NaN   5.9900901e+00   2.5040541e+00
   1.9717109e+03             NaN   5.4882576e+00   2.5352273e+00
   1.9717849e+03             NaN   6.0692537e+00   3.1922388e+00
   1.9718588e+03             NaN   5.9474860e+00   2.5991620e+00
   1.9719328e+03             NaN   6.7184953e+00   2.9379310e+00
   1.9720068e+03             NaN   5.6594030e+00   2.2776119e+00
   1.9720805e+03             NaN   6.4225207e+00   3.0305785e+00
   1.9721543e+03             NaN   6.6365812e+00   2.9333333e+00
   1.9722281e+03             NaN   6.9472763e+00   3.1968872e+00
   1.9723019e+03             NaN   5.6213768e+00   2.2820652e+00
   1.9723756e+03             NaN   6.1969283e+00   2.8890785e+00
   1.9724494e+03             NaN   6.3495784e+00   3.0973019e+00
   1.9725232e+03             NaN   5.8380783e+00   2.5097865e+00
   1.9725969e+03             NaN   6.9362069e+00   3.5515326e+00
   1.9726707e+03             NaN   6.7334608e+00   3.0315488e+00
   1.9727445e+03             NaN   5.9134647e+00   2.8871921e+00
   1.9728182e+03             NaN   7.0974775e+00   3.3331532e+00
   1.9728920e+03             NaN   5.9783154e+00   3.1229391e+00
   1.9729658e+03             NaN   6.6179310e+00   3.3200000e+00
   1.9730397e+03             NaN   6.7134106e+00   3.7947020e+00
   1.9731136e+03             NaN   6.5300000e+00   3.6272414e+00
   1.9731876e+03             NaN   6.3810193e+00   3.2987698e+00
   1.9732616e+03             NaN   7.7209591e+00   3.6488455e+00
   1.9733356e+03             NaN   6.9866545e+00   4.0389397e+00
   1.9734095e+03             NaN   6.6216696e+00   3.3408526e+00
   1.9734835e+03             NaN   5.8390741e+00   3.0151852e+00
   1.9735575e+03             NaN   6.0190476e+00   3.2327381e+00
   1.9736314e+03             NaN   5.3373737e+00   3.1856566e+00
   1.9737054e+03             NaN   6.6023346e+00   3.3784047e+00
   1.9737794e+03             NaN   5.2840964e+00   3.0727711e+00
   1.9738534e+03             NaN   5.9136622e+00   3.2833017e+00
   1.9739273e+03   3.7537150e-01   6.0685558e+00   2.8411335e+00
   1.9740013e+03   4.0813065e-01   5.9653310e+00   3.4451220e+00
   1.9740753e+03   4.4523704e-01   5.8604061e+00   3.2866328e+00
   1.9741493e+03   4.1674012e-01   6.1016667e+00   3.3365000e+00
   1.9742232e+03   4.2330493e-01   6.5918669e+00   3.6103512e+00
   1.9742972e+03   3.9689058e-01   6.0208981e+00   3.2689119e+00
   1.9743712e+03   5.0627485e-01   7.1623239e+00   4.1306338e+00
   1.9744451e+03   4.2210802e-01   6.5609984e+00   3.5444618e+00
   1.9745191e+03   4.2877512e-01   7.4832013e+00   3.7996830e+00
   1.9745931e+03   4.0923768e-01   6.3656195e+00   3.3261780e+00
   1.9746671e+03   4.8663517e-01   6.3683694e+00   3.4612967e+00
   1.9747410e+03   3.9113924e-01   6.9413953e+00   3.3653488e+00
   1.9748150e+03   3.9277871e-01   8.2400922e+00   3.6707373e+00
   1.9748890e+03   3.9762604e-01   7.3703608e+00   3.6252577e+00
   1.9749630e+03   3.9345844e-01   6.1185083e+00   3.5190608e+00
   1.9750369e+03   5.1380781e-01   7.0835073e+00   3.7555324e+00
   1.9751109e+03   3.4241533e-01   5.7122093e+00   2.7171512e+00
   1.9751849e+03   3.8767635e-01   5.3045593e+00   2.8246201e+00
   1.9752588e+03   2.9476167e-01   5.6127764e+00   2.7722359e+00
   1.9753328e+03   2.6854576e-01   5.5591880e+00   2.6448718e+00
