%% Annual open solar flux values in units of 10^14 Wb
%%            (corrected for kinematic solar wind effects)
%% column 1 - year
%% column 2 - open solar flux from model and geomagnetic activity data
%%            values after 1900 are from geomagnetic activity using the
%%            aa and m indices using the method of Lockwood et al. (2009)
%%            values before 1900 are from the model of Vieira and Solanki (2010)
%% column 3 - open solar flux from near-Earth IMF magnetometer data
%% bad/missing data code = NaN 
%%
%% when using please cite references
%% Lockwood, M., A.P. Rouillard, and I.D. Finch 
%% The rise and fall of open solar flux during the current grand solar maximum, 
%% Ap. J., 700, 937–944, 2009. doi:10.1088/0004-637X/700/2/937
%%
%% Lockwood, M., R. Stamper and M.N. Wild
%% A doubling of the sun's coronal magnetic field during the last 100 years
%% Nature, 399, 437-439, 1999
%%
%% Vieira, L.E.A. and S.K. Solanki
%% Evolution of the solar magnetic flux on time scales of years to millennia
%% Astron & Astrophys, 509(1), A100, 2010. doi: 10.1051/0004-6361/200913276 2010
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% date            OSF                  OSF
%                 from model and       from satellite
%                 geomagnetic data     IMF data  
  1.7255000e+003  1.0922224e+000             NaN
  1.7265000e+003  1.3487511e+000             NaN
  1.7275000e+003  1.5481181e+000             NaN
  1.7285000e+003  1.8195550e+000             NaN
  1.7295000e+003  1.6789931e+000             NaN
  1.7305000e+003  1.8451208e+000             NaN
  1.7315000e+003  1.5014885e+000             NaN
  1.7325000e+003  1.2740185e+000             NaN
  1.7335000e+003  1.1616908e+000             NaN
  1.7345000e+003  1.0416304e+000             NaN
  1.7355000e+003  1.1640273e+000             NaN
  1.7365000e+003  1.4775162e+000             NaN
  1.7375000e+003  1.4187496e+000             NaN
  1.7385000e+003  1.2373748e+000             NaN
  1.7395000e+003  1.4542276e+000             NaN
  1.7405000e+003  1.2904885e+000             NaN
  1.7415000e+003  1.4598959e+000             NaN
  1.7425000e+003  1.3576469e+000             NaN
  1.7435000e+003  1.0965284e+000             NaN
  1.7445000e+003  9.8156974e-001             NaN
  1.7455000e+003  9.4891998e-001             NaN
  1.7465000e+003  9.6544772e-001             NaN
  1.7475000e+003  1.0117400e+000             NaN
  1.7485000e+003  1.5473466e+000             NaN
  1.7495000e+003  1.9172627e+000             NaN
  1.7505000e+003  1.9340490e+000             NaN
  1.7515000e+003  1.7407828e+000             NaN
  1.7525000e+003  1.6026803e+000             NaN
  1.7535000e+003  1.5501003e+000             NaN
  1.7545000e+003  1.4201361e+000             NaN
  1.7555000e+003  1.3273131e+000             NaN
  1.7565000e+003  1.3415538e+000             NaN
  1.7575000e+003  1.5268746e+000             NaN
  1.7585000e+003  1.6882119e+000             NaN
  1.7595000e+003  1.4521400e+000             NaN
  1.7605000e+003  1.4832183e+000             NaN
  1.7615000e+003  2.0989510e+000             NaN
  1.7625000e+003  2.0694466e+000             NaN
  1.7635000e+003  1.9049034e+000             NaN
  1.7645000e+003  1.8352618e+000             NaN
  1.7655000e+003  1.5151829e+000             NaN
  1.7665000e+003  1.5555393e+000             NaN
  1.7675000e+003  1.9464927e+000             NaN
  1.7685000e+003  2.6980271e+000             NaN
  1.7695000e+003  3.2812116e+000             NaN
  1.7705000e+003  3.5859274e+000             NaN
  1.7715000e+003  3.4234886e+000             NaN
  1.7725000e+003  3.2461757e+000             NaN
  1.7735000e+003  2.7211141e+000             NaN
  1.7745000e+003  2.4332758e+000             NaN
  1.7755000e+003  1.9528398e+000             NaN
  1.7765000e+003  1.8317947e+000             NaN
  1.7775000e+003  1.9975018e+000             NaN
  1.7785000e+003  2.4822326e+000             NaN
  1.7795000e+003  2.3953933e+000             NaN
  1.7805000e+003  2.0715103e+000             NaN
  1.7815000e+003  2.2581736e+000             NaN
  1.7825000e+003  2.1841363e+000             NaN
  1.7835000e+003  1.9232697e+000             NaN
  1.7845000e+003  1.7623146e+000             NaN
  1.7855000e+003  1.8096598e+000             NaN
  1.7865000e+003  2.2514605e+000             NaN
  1.7875000e+003  2.6163420e+000             NaN
  1.7885000e+003  2.7201224e+000             NaN
  1.7895000e+003  2.4371973e+000             NaN
  1.7905000e+003  2.2185830e+000             NaN
  1.7915000e+003  1.9897712e+000             NaN
  1.7925000e+003  1.7572603e+000             NaN
  1.7935000e+003  1.6627554e+000             NaN
  1.7945000e+003  1.7785472e+000             NaN
  1.7955000e+003  1.9224467e+000             NaN
  1.7965000e+003  1.8463422e+000             NaN
  1.7975000e+003  1.7265573e+000             NaN
  1.7985000e+003  1.6713314e+000             NaN
  1.7995000e+003  1.6283334e+000             NaN
  1.8005000e+003  1.5948383e+000             NaN
  1.8015000e+003  2.0289464e+000             NaN
  1.8025000e+003  1.9782778e+000             NaN
  1.8035000e+003  1.6814569e+000             NaN
  1.8045000e+003  1.5854540e+000             NaN
  1.8055000e+003  1.4970055e+000             NaN
  1.8065000e+003  1.4407946e+000             NaN
  1.8075000e+003  1.2228037e+000             NaN
  1.8085000e+003  1.1268189e+000             NaN
  1.8095000e+003  1.0800582e+000             NaN
  1.8105000e+003  1.0120408e+000             NaN
  1.8115000e+003  9.6985157e-001             NaN
  1.8125000e+003  9.5142193e-001             NaN
  1.8135000e+003  9.7185929e-001             NaN
  1.8145000e+003  9.8348050e-001             NaN
  1.8155000e+003  1.0102053e+000             NaN
  1.8165000e+003  1.1402019e+000             NaN
  1.8175000e+003  1.1350375e+000             NaN
  1.8185000e+003  1.0474026e+000             NaN
  1.8195000e+003  1.0011206e+000             NaN
  1.8205000e+003  9.2923349e-001             NaN
  1.8215000e+003  8.7048704e-001             NaN
  1.8225000e+003  9.1044186e-001             NaN
