# 400 Year Reconstruction of Niño Cold Tongue and Niño Warm Pool Index
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/26270 
#       Description: Reconstructions of Niño indices
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Data_Type: Coral records
# 
# Dataset_DOI: (placeholder for eventual minting by NOAA)
#
# Parameter_Keywords: oxygen isotopes, Sr/Ca
#--------------------
# Contribution_Date
#	Date:  2019-05-06
#--------------------
# File_Last_Modified_Date
#	Date:  2019-05-06
#--------------------
# Title
#	Study_Name: Higher frequency of Central Pacific El Niño events in recent decades relative to past centuries
#--------------------
# Investigators
#	Investigators:  Freund, M. B., Henley, B. J., Karoly, D. J., McGregor, H. V., Abram, N. J. and Dommenget, D.
#--------------------
# Description_Notes_and_Keywords
#	Description: Using a network of tropical coral records, this dataset contains seasonal reconstructions of the Niño Cold Tongue (NCT) index
# 				 and the Niño Warm Pool index (NWP) based on Ren and Jin 2011 
#				 (Ren, H.-L. and Jin, F.-F.: Niño indices for two types of ENSO, Geophys. Res. Lett., 38(4), L04704, doi:10.1029/2010GL046031, 2011.) 
#			     based on sea surface temperature dataset (HadISST) from 1870 to 2017 used (http://www.metoffic.gove. uk/hadobs/hadisst/).
# 				 Please see the source publication for further details.
#				 Different season relate to the seasonal averages: 3==MAM, 6=JJA, 9=SON and 12=DJF
#--------------------
# Publication 
#	Authors: Freund, M. B., Henley, B. J., Karoly, D. J., McGregor, H. V., Abram, N. J. and Dommenget, D.
#	Published_Date_or_Year:  2019-05-06 
#	Published_Title: Higher frequency of Central Pacific El Niño events in recent decades relative to past centuries
#	Journal_Name: Nature Geoscience
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 10.1038/s41561-019-0353-3
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: 
El Niño events differ substantially in their spatial pattern and intensity. Canonical Eastern Pacific El Niño events have sea surface temperature anomalies that are strongest in the far eastern equatorial Pacific, whereas peak ocean warming occurs further west during Central Pacific El Niño events. The event types differ in their impacts on the location and intensity of temperature and precipitation anomalies globally. Evidence is emerging that Central Pacific El Niño events have become more common, a trend that is projected by some studies to continue with ongoing climate change. Here we identify spatial and temporal patterns in observed sea surface temperatures that distinguish the evolution of Eastern and Central Pacific El Niño events in the tropical Pacific. We show that these patterns are recorded by a network of 27 seasonally resolved coral records, which we then use to reconstruct Central and Eastern Pacific El Niño activity for the past four centuries. We find a simultaneous increase in Central Pacific events and a decrease in Eastern Pacific events since the late twentieth century that leads to a ratio of Central to Eastern Pacific events that is unusual in a multicentury context. Compared to the past four centuries, the most recent 30 year period includes fewer, but more intense, Eastern Pacific El Niño events.
#------------------ 
Year	Season	NCT	NWP
1673	12	-0.045	-0.043
1674	3	-0.125	-0.098
1674	6	-0.172	-0.057
1674	9	-0.241	-0.036
1674	12	-0.156	-0.014
1675	3	-0.164	0.042
1675	6	-0.069	0.074
1675	9	-0.090	0.024
1675	12	-0.021	-0.040
1676	3	-0.001	-0.098
1676	6	-0.057	-0.114
1676	9	0.054	-0.014
1676	12	0.237	0.089
1677	3	0.250	0.189
1677	6	0.210	0.309
1677	9	0.191	0.314
1677	12	0.353	0.229
1678	3	0.265	0.077
1678	6	-0.115	-0.099
1678	9	-0.121	-0.068
1678	12	0.081	0.027
1679	3	0.063	0.022
1679	6	-0.012	-0.065
1679	9	-0.013	-0.221
1679	12	0.184	-0.167
1680	3	0.147	-0.099
1680	6	-0.023	-0.066
1680	9	-0.111	-0.034
1680	12	-0.012	0.050
1681	3	0.142	0.094
1681	6	0.025	0.047
1681	9	-0.012	0.125
1681	12	0.121	0.148
1682	3	0.068	0.010
1682	6	0.042	-0.071
1682	9	0.034	0.013
1682	12	0.122	0.120
1683	3	0.128	-0.074
1683	6	-0.034	-0.315
1683	9	-0.132	-0.364
1683	12	-0.188	-0.269
1684	3	-0.194	-0.264
1684	6	-0.129	-0.315
1684	9	-0.106	-0.336
1684	12	-0.178	-0.295
1685	3	-0.211	-0.286
1685	6	-0.288	-0.379
1685	9	-0.258	-0.361
1685	12	-0.058	-0.076
1686	3	0.253	0.113
1686	6	0.337	0.142
1686	9	0.081	0.113
1686	12	-0.069	0.105
1687	3	-0.056	0.175
1687	6	-0.062	0.097
1687	9	-0.012	0.121
1687	12	0.111	0.269
1688	3	0.210	0.339
1688	6	0.239	0.242
1688	9	0.152	0.153
1688	12	0.186	0.172
1689	3	0.203	0.162
1689	6	0.099	0.187
1689	9	0.053	0.161
1689	12	0.153	0.082
1690	3	0.332	0.191
1690	6	0.256	0.285
1690	9	-0.128	0.139
1690	12	-0.179	0.074
1691	3	-0.164	0.075
1691	6	-0.246	-0.045
1691	9	-0.368	-0.103
1691	12	-0.398	-0.059
1692	3	-0.480	-0.103
1692	6	-0.268	-0.186
1692	9	-0.096	-0.055
1692	12	0.121	0.002
1693	3	0.027	-0.105
1693	6	-0.049	-0.089
1693	9	0.249	0.115
1693	12	0.277	0.138
1694	3	-0.033	-0.056
1694	6	-0.290	-0.135
1694	9	-0.370	-0.102
1694	12	-0.031	-0.027
1695	3	0.137	-0.014
1695	6	-0.064	-0.068
1695	9	-0.175	-0.088
1695	12	-0.151	-0.062
1696	3	-0.126	-0.043
1696	6	-0.234	-0.100
1696	9	-0.239	-0.114
1696	12	-0.041	0.027
1697	3	-0.015	0.047
1697	6	-0.070	-0.053
1697	9	-0.096	-0.064
1697	12	0.098	-0.046
1698	3	0.089	-0.118
1698	6	-0.073	-0.050
1698	9	0.028	0.143
1698	12	0.095	0.213
1699	3	0.078	0.191
1699	6	0.100	0.214
1699	9	0.152	0.200
1699	12	0.044	0.069
1700	3	-0.005	0.008
1700	6	0.245	0.057
1700	9	0.410	0.205
1700	12	0.426	0.409
1701	3	0.494	0.472
1701	6	0.386	0.349
1701	9	0.163	0.096
1701	12	-0.022	-0.008
1702	3	-0.180	-0.122
1702	6	-0.273	-0.183
1702	9	0.047	-0.213
1702	12	0.043	-0.254
1703	3	0.371	-0.006
1703	6	0.317	0.105
1703	9	0.371	0.150
1703	12	0.449	0.066
1704	3	0.530	0.030
1704	6	0.428	0.079
1704	9	0.163	0.046
1704	12	-0.023	-0.008
1705	3	0.027	-0.030
1705	6	-0.210	0.020
1705	9	-0.445	0.031
1705	12	-0.440	0.023
1706	3	-0.332	0.063
1706	6	-0.093	0.069
1706	9	0.061	-0.001
1706	12	0.175	-0.108
1707	3	0.163	-0.144
1707	6	0.121	-0.040
1707	9	0.055	-0.007
1707	12	-0.055	-0.144
1708	3	-0.197	-0.210
1708	6	-0.073	-0.111
1708	9	0.168	-0.085
1708	12	0.223	-0.226
1709	3	0.274	-0.227
1709	6	-0.051	-0.116
1709	9	-0.189	-0.074
1709	12	-0.085	-0.125
1710	3	-0.152	-0.161
1710	6	-0.341	-0.083
1710	9	-0.288	-0.022
1710	12	0.034	-0.027
1711	3	-0.076	-0.021
1711	6	-0.094	0.096
1711	9	0.133	0.136
1711	12	0.221	0.032
1712	3	0.189	0.022
1712	6	0.083	0.085
1712	9	0.143	0.047
1712	12	0.158	-0.114
1713	3	0.162	-0.156
1713	6	0.106	-0.022
1713	9	0.162	0.033
1713	12	0.061	-0.025
1714	3	0.013	0.004
1714	6	0.034	0.060
1714	9	-0.006	0.048
1714	12	0.028	0.015
1715	3	-0.111	0.025
1715	6	-0.261	0.064
1715	9	-0.099	0.073
1715	12	-0.098	-0.003
1716	3	-0.451	-0.041
1716	6	-0.495	0.054
1716	9	-0.446	0.080
1716	12	-0.439	-0.002
1717	3	-0.378	-0.016
1717	6	-0.150	0.061
1717	9	-0.027	0.046
1717	12	0.105	-0.004
1718	3	-0.074	-0.007
1718	6	0.090	0.126
1718	9	0.296	0.175
1718	12	0.247	0.069
1719	3	0.405	0.087
1719	6	0.369	0.150
1719	9	0.450	0.155
1719	12	0.365	0.079
1720	3	0.051	0.039
1720	6	-0.032	0.086
1720	9	-0.080	0.015
1720	12	0.025	-0.080
1721	3	0.146	-0.043
1721	6	-0.056	0.031
1721	9	-0.242	0.054
1721	12	-0.059	0.021
1722	3	-0.168	-0.086
1722	6	-0.115	-0.083
1722	9	-0.012	-0.075
1722	12	0.404	-0.077
1723	3	0.237	-0.100
1723	6	-0.087	-0.025
1723	9	-0.007	0.025
1723	12	0.161	-0.065
1724	3	0.144	-0.112
1724	6	-0.394	-0.090
1724	9	-0.720	-0.090
1724	12	-0.336	-0.075
1725	3	-0.128	-0.045
1725	6	-0.266	-0.032
1725	9	-0.248	-0.082
1725	12	0.005	-0.116
1726	3	-0.043	-0.049
1726	6	-0.214	0.041
1726	9	-0.234	0.024
1726	12	0.190	-0.033
1727	3	0.095	-0.022
1727	6	-0.202	0.067
1727	9	-0.240	0.092
1727	12	0.095	0.076
1728	3	0.028	0.109
1728	6	0.055	0.217
1728	9	0.106	0.201
1728	12	0.177	0.008
1729	3	0.211	-0.170
1729	6	0.084	-0.234
1729	9	0.190	-0.214
1729	12	0.540	-0.149
1730	3	0.344	-0.037
1730	6	-0.151	0.033
1730	9	0.065	0.022
1730	12	0.474	0.079
1731	3	0.247	0.194
1731	6	-0.139	0.187
1731	9	-0.182	0.030
1731	12	0.059	-0.162
1732	3	-0.068	-0.144
1732	6	-0.562	-0.045
1732	9	-0.493	-0.040
1732	12	0.002	-0.091
1733	3	0.160	-0.064
1733	6	0.125	0.109
1733	9	0.177	0.179
1733	12	0.220	0.073
1734	3	0.154	0.028
1734	6	-0.276	0.026
1734	9	-0.547	-0.016
1734	12	-0.188	-0.121
1735	3	-0.117	-0.071
1735	6	-0.372	0.098
1735	9	-0.056	0.174
1735	12	0.302	0.146
1736	3	0.164	0.167
1736	6	-0.041	0.274
1736	9	-0.196	0.244
1736	12	-0.009	0.130
1737	3	0.040	0.065
1737	6	-0.338	0.051
1737	9	-0.265	-0.021
1737	12	0.125	-0.104
1738	3	0.237	-0.022
1738	6	-0.017	0.078
1738	9	-0.069	0.019
1738	12	-0.027	-0.108
1739	3	0.111	-0.054
1739	6	0.146	0.072
1739	9	0.214	-0.038
1739	12	0.436	-0.234
1740	3	0.254	-0.236
1740	6	-0.082	-0.101
1740	9	0.067	-0.029
1740	12	0.264	-0.058
1741	3	0.218	-0.118
1741	6	-0.037	-0.062
1741	9	-0.145	-0.005
1741	12	-0.097	-0.103
1742	3	0.071	-0.124
1742	6	0.116	-0.009
1742	9	0.099	-0.031
1742	12	0.289	-0.163
1743	3	0.260	-0.157
1743	6	-0.240	-0.015
1743	9	-0.577	0.015
1743	12	-0.345	-0.064
1744	3	0.011	-0.034
1744	6	0.196	0.088
1744	9	0.145	0.087
1744	12	0.191	0.029
1745	3	0.165	0.032
1745	6	0.073	0.060
1745	9	0.227	0.006
1745	12	0.509	-0.072
1746	3	0.275	-0.029
1746	6	-0.211	0.089
1746	9	-0.305	0.092
1746	12	-0.299	0.016
1747	3	-0.129	0.046
1747	6	0.007	0.138
1747	9	-0.186	0.126
1747	12	-0.302	0.021
1748	3	-0.215	0.031
1748	6	-0.321	0.113
1748	9	-0.292	0.089
1748	12	0.183	0.064
1749	3	0.281	0.107
1749	6	-0.099	0.140
1749	9	-0.067	0.095
1749	12	0.438	0.052
1750	3	0.405	0.039
1750	6	-0.249	0.078
1750	9	-0.321	0.069
1750	12	-0.069	-0.052
1751	3	-0.221	-0.070
1751	6	-0.471	-0.002
1751	9	-0.227	-0.038
1751	12	0.112	-0.154
1752	3	0.013	-0.159
1752	6	-0.367	-0.058
1752	9	-0.338	0.023
1752	12	-0.120	-0.034
1753	3	-0.038	-0.093
1753	6	-0.314	0.016
1753	9	-0.428	0.059
1753	12	-0.068	-0.100
1754	3	0.182	-0.123
1754	6	0.103	-0.007
1754	9	0.182	0.024
1754	12	0.337	-0.060
1755	3	0.040	-0.129
1755	6	-0.211	-0.122
1755	9	-0.056	-0.134
1755	12	0.080	-0.209
1756	3	0.093	-0.187
1756	6	-0.085	-0.045
1756	9	-0.243	-0.021
1756	12	0.015	-0.119
1757	3	0.178	-0.069
1757	6	-0.202	0.019
1757	9	-0.291	-0.034
1757	12	0.027	-0.116
1758	3	0.267	-0.054
1758	6	0.257	0.053
1758	9	0.189	0.044
1758	12	0.291	-0.047
1759	3	0.343	-0.031
1759	6	0.180	0.099
1759	9	0.156	0.157
1759	12	0.400	0.100
1760	3	0.414	0.108
1760	6	0.047	0.179
1760	9	0.309	0.126
1760	12	0.399	-0.033
1761	3	-0.118	-0.015
1761	6	-0.314	0.080
1761	9	-0.174	0.075
1761	12	0.006	0.003
1762	3	0.167	0.051
1762	6	-0.031	0.137
1762	9	-0.030	0.134
1762	12	0.024	0.094
1763	3	-0.349	0.082
1763	6	-0.670	0.133
